method,iter,file-10m.dat,nic1-latency,nic1-dropped,nic1-down-mbps,nic1-up-mbps
quic,0,11.476,40,0,10,10
wget,0,9.15,40,0,10,10
quic,0,11.907,80,0,10,10
wget,0,9.763,80,0,10,10
quic,0,15.41,160,0,10,10
wget,0,11.314,160,0,10,10
quic,0,22.974,240,0,10,10
wget,0,13.389,240,0,10,10
quic,0,36.167,320,0,10,10
wget,0,16.515,320,0,10,10
quic,0,43.206,400,0,10,10
wget,0,19.397,400,0,10,10
