method,iter,file-10m.dat,nic1-latency,nic1-dropped,nic1-down-mbps,nic1-up-mbps
quic,0,18.738,80,0,5,5
wget,0,18.451,80,0,5,5
quic,0,36.111,320,0,5,5
wget,0,22.518,320,0,5,5
quic,0,12.054,80,0,10,10
wget,0,9.776,80,0,10,10
quic,0,36.097,320,0,10,10
wget,0,16.715,320,0,10,10
quic,0,11.289,80,0,20,20
wget,0,5.893,80,0,20,20
quic,0,36.175,320,0,20,20
wget,0,17.026,320,0,20,20
quic,0,11.437,80,0,30,30
wget,0,4.532,80,0,30,30
quic,0,36.114,320,0,30,30
wget,0,15.673,320,0,30,30
