method,iter,file-10m.dat,nic1-latency,nic1-dropped,nic1-down-mbps,nic1-up-mbps
quic,0,18.59,80,0,5,5
wget,0,18.288,80,0,5,5
quic,0,25.157,80,0.1,5,5
wget,0,18.282,80,0.1,5,5
quic,0,40.305,80,0.5,5,5
wget,0,69.794,80,0.5,5,5
quic,0,72.257,80,1,5,5
wget,0,113.974,80,1,5,5
quic,0,131.707,80,3,5,5
wget,0,218.725,80,3,5,5
quic,0,186.784,80,5,5,5
wget,0,290.036,80,5,5,5
